"","rec_ma+lexibank_ArmAndHand+WALS_129A","o_lexibank_CommonSubstringInBoyAndGirl","o_lexibank_CommonSubstringInManAndWoman","o_lexibank_ElbowAndKnee","o_lexibank_EyeInTear","o_lexibank_BarkAndSkin","rec_c_lexibank_FatherWithP","rec_ma+lexibank_FingerAndHand+WALS_130A","rec_mca+lexibank_FirstPersonWithM+lexibank_FirstPersonWithN+WALS_136B","rec_ma+lexibank_GreenAndBlue+WALS_134A","o_lexibank_HairAndFeather","o_lexibank_HearAndSmell","o_lexibank_FingerAndToe","o_lexibank_LegAndFoot","rec_c_lexibank_MotherWithM","o_lexibank_MouthInLip","rec_ma+lexibank_RedAndYellow+WALS_135A","rec_mca+lexibank_SecondPersonWithM+lexibank_SecondPersonWithN+lexibank_SecondPersonWithT+WALS_137B","o_lexibank_SeeAndKnow","o_lexibank_SkinInLip","o_lexibank_ThreeInEight","o_lexibank_ThreeInThirteen","o_lexibank_ToeAndFoot","o_lexibank_WaterInTear","rec_c_lexibank_WindWithF","o_lexibank_TreeInBark"
"fonn1241","FALSE","False","True","False",NA,NA,"False","FALSE",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,"False","False","False",NA,NA,NA
"fore1265","FALSE","True","False",NA,"True","False","False","FALSE","M","FALSE","False","False","True","True","False","False","FALSE",NA,"False","False","False",NA,"False","False","False","True"
"fuyu1242",NA,NA,NA,NA,NA,NA,"True",NA,"N",NA,NA,NA,NA,NA,"True",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"gaan1243",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"gaik1242",NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA
"gali1262","TRUE","False","False","False","False","True","False","FALSE",NA,"FALSE","False","True","False","False","False","False","FALSE",NA,"False","False","True",NA,"False","False","False","False"
"gall1278",NA,"True","False",NA,"False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"gami1243",NA,NA,"False","False",NA,NA,"True",NA,NA,NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"gang1270",NA,"True","False","False",NA,NA,"False",NA,"N",NA,NA,"False",NA,NA,"False",NA,"FALSE","M",NA,NA,NA,NA,NA,NA,NA,NA
"garu1246",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"gaww1239","TRUE","False","False","False","False","False","False","FALSE",NA,"FALSE","False","False","True","True","False","False","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"gbar1246","FALSE","True","False","False",NA,NA,"False","FALSE",NA,NA,NA,NA,"False","True","True",NA,NA,NA,NA,NA,"False","True","False",NA,NA,NA
