"code_ID","new.name","value"
"GB952drmc-0","GB952drmc","0"
"GB952drmc-?","GB952drmc","?"
"GB952drmc-1","GB952drmc","1"
"GB952drmc-NA","GB952drmc","NA"
"GB953drmc-0","GB953drmc","0"
"GB953drmc-?","GB953drmc","?"
"GB953drmc-1","GB953drmc","1"
"GB953drmc-NA","GB953drmc","NA"
"GB954drmc-0","GB954drmc","0"
"GB954drmc-?","GB954drmc","?"
"GB954drmc-1","GB954drmc","1"
"GB954drmc-NA","GB954drmc","NA"
"GB955drmc-1","GB955drmc","1"
"GB955drmc-0","GB955drmc","0"
"GB955drmc-?","GB955drmc","?"
"GB955drmc-NA","GB955drmc","NA"
"GB990drmc-0","GB990drmc","0"
"GB990drmc-?","GB990drmc","?"
"GB990drmc-1","GB990drmc","1"
"GB990drmc-NA","GB990drmc","NA"
"GB991drmc-1","GB991drmc","1"
"GB991drmc-0","GB991drmc","0"
"GB991drmc-?","GB991drmc","?"
"GB991drmc-NA","GB991drmc","NA"
