"code_ID","new.name","value"
"GB109C-?","GB109C","?"
"GB109C-1","GB109C","1"
"GB110cC-0","GB110cC","0"
"GB110cC-?","GB110cC","?"
"GB110cC-1","GB110cC","1"
"GB110cC-NA","GB110cC","NA"
"GB111C-0","GB111C","0"
"GB111C-?","GB111C","?"
"GB111C-1","GB111C","1"
"GB111C-NA","GB111C","NA"
"GB852drmC-0","GB852drmC","0"
"GB852drmC-NA","GB852drmC","NA"
"GB852drmC-?","GB852drmC","?"
"GB852drmC-1","GB852drmC","1"
"GB850drm-1","GB850drm","1"
"GB850drm-0","GB850drm","0"
"GB850drm-?","GB850drm","?"
"GB117-?","GB117","?"
"GB117-1","GB117","1"
"GB117-0","GB117","0"
"GB118-0","GB118","0"
"GB118-1","GB118","1"
"GB118-?","GB118","?"
"GB500drm-?","GB500drm","?"
"GB500drm-1","GB500drm","1"
"GB500drm-0","GB500drm","0"
"GB122-?","GB122","?"
"GB122-1","GB122","1"
"GB122-0","GB122","0"
"GB123-?","GB123","?"
"GB123-0","GB123","0"
"GB123-1","GB123","1"
"GB126-?","GB126","?"
"GB126-0","GB126","0"
"GB126-1","GB126","1"
"GB127-?","GB127","?"
"GB127-0","GB127","0"
"GB127-1","GB127","1"
"GB129-?","GB129","?"
"GB129-0","GB129","0"
"GB129-1","GB129","1"
"GB134-?","GB134","?"
"GB134-0","GB134","0"
"GB134-1","GB134","1"
"GB135-?","GB135","?"
"GB135-0","GB135","0"
"GB135-1","GB135","1"
"GB136-?","GB136","?"
"GB136-1","GB136","1"
"GB136-0","GB136","0"
"GB146-?","GB146","?"
"GB146-0","GB146","0"
"GB146-1","GB146","1"
"GB555m-?","GB555m","?"
"GB555m-0","GB555m","0"
"GB555m-1","GB555m","1"
"GB556m-?","GB556m","?"
"GB556m-0","GB556m","0"
"GB556m-1","GB556m","1"
"GB149C-?","GB149C","?"
"GB149C-NA","GB149C","NA"
"GB149C-0","GB149C","0"
"GB149C-1","GB149C","1"
"GB150-?","GB150","?"
"GB150-0","GB150","0"
"GB150-1","GB150","1"
"GB152-?","GB152","?"
"GB152-1","GB152","1"
"GB152-0","GB152","0"
"GB155C-?","GB155C","?"
"GB155C-NA","GB155C","NA"
"GB155C-0","GB155C","0"
"GB155C-1","GB155C","1"
"GB156-?","GB156","?"
"GB156-0","GB156","0"
"GB156-1","GB156","1"
"GB167-0","GB167","0"
"GB167-?","GB167","?"
"GB167-1","GB167","1"
"GB560drmcC-?","GB560drmcC","?"
"GB560drmcC-1","GB560drmcC","1"
"GB560drmcC-NA","GB560drmcC","NA"
"GB560drmcC-0","GB560drmcC","0"
"GB567drm-0","GB567drm","0"
"GB567drm-1","GB567drm","1"
"GB567drm-?","GB567drm","?"
"GB568drm-1","GB568drm","1"
"GB568drm-?","GB568drm","?"
"GB568drm-0","GB568drm","0"
"GB569drmcC-?","GB569drmcC","?"
"GB569drmcC-1","GB569drmcC","1"
"GB569drmcC-NA","GB569drmcC","NA"
"GB569drmcC-0","GB569drmcC","0"
"GB561drmc-1","GB561drmc","1"
"GB561drmc-?","GB561drmc","?"
"GB561drmc-0","GB561drmc","0"
"GB561drmc-NA","GB561drmc","NA"
"GB196C-NA","GB196C","NA"
"GB196C-0","GB196C","0"
"GB196C-?","GB196C","?"
"GB196C-1","GB196C","1"
"GB197C-NA","GB197C","NA"
"GB197C-0","GB197C","0"
"GB197C-?","GB197C","?"
"GB197C-1","GB197C","1"
"GB198c-?","GB198c","?"
"GB198c-1","GB198c","1"
"GB198c-NA","GB198c","NA"
"GB198c-0","GB198c","0"
"GB204-0","GB204","0"
"GB204-?","GB204","?"
"GB204-1","GB204","1"
"GB296-?","GB296","?"
"GB296-1","GB296","1"
"GB296-0","GB296","0"
"GB300-?","GB300","?"
"GB300-0","GB300","0"
"GB300-1","GB300","1"
"GB301-?","GB301","?"
"GB301-0","GB301","0"
"GB301-1","GB301","1"
"GB304c-?","GB304c","?"
"GB304c-NA","GB304c","NA"
"GB304c-0","GB304c","0"
"GB304c-1","GB304c","1"
"GB309c-0","GB309c","0"
"GB309c-1","GB309c","1"
"GB309c-?","GB309c","?"
"GB309c-NA","GB309c","NA"
"GB313-1","GB313","1"
"GB313-?","GB313","?"
"GB313-0","GB313","0"
"GB951drmcC-1","GB951drmcC","1"
"GB951drmcC-NA","GB951drmcC","NA"
"GB951drmcC-?","GB951drmcC","?"
"GB951drmcC-0","GB951drmcC","0"
"GB952drmcC-0","GB952drmcC","0"
"GB952drmcC-NA","GB952drmcC","NA"
"GB952drmcC-?","GB952drmcC","?"
"GB952drmcC-1","GB952drmcC","1"
"GB955drmc-1","GB955drmc","1"
"GB955drmc-0","GB955drmc","0"
"GB955drmc-?","GB955drmc","?"
"GB955drmc-NA","GB955drmc","NA"
"GB322c-?","GB322c","?"
"GB322c-NA","GB322c","NA"
"GB322c-0","GB322c","0"
"GB322c-1","GB322c","1"
"GB323c-?","GB323c","?"
"GB323c-NA","GB323c","NA"
"GB323c-1","GB323c","1"
"GB323c-0","GB323c","0"
"GB324-?","GB324","?"
"GB324-0","GB324","0"
"GB324-1","GB324","1"
"GB325-?","GB325","?"
"GB325-1","GB325","1"
"GB325-0","GB325","0"
"GB326-1","GB326","1"
"GB326-0","GB326","0"
"GB326-?","GB326","?"
"GB332nom-decimal system","GB332nom","decimal system"
"GB332nom-?","GB332nom","?"
"GB332nom-neither","GB332nom","neither"
"GB332nom-body-part tallying system","GB332nom","body-part tallying system"
"GB334-0","GB334","0"
"GB334-?","GB334","?"
"GB334-1","GB334","1"
"GB335-0","GB335","0"
"GB335-?","GB335","?"
"GB335-1","GB335","1"
"GB401-?","GB401","?"
"GB401-0","GB401","0"
"GB401-1","GB401","1"
"GB402-?","GB402","?"
"GB402-0","GB402","0"
"GB402-1","GB402","1"
"GB403-?","GB403","?"
"GB403-1","GB403","1"
"GB403-0","GB403","0"
"GB415-0","GB415","0"
"GB415-?","GB415","?"
"GB415-1","GB415","1"
"GB510m-?","GB510m","?"
"GB510m-1","GB510m","1"
"GB510m-0","GB510m","0"
"GB522C-1","GB522C","1"
"GB522C-NA","GB522C","NA"
"GB522C-?","GB522C","?"
"GB522C-0","GB522C","0"
