"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family","Subfamily","Genus","GenusIcon","ISO_codes","Samples_100","Samples_200","Country_ID","Source","Parent_ID"
"1905","plp","Pulopetak","Papunesia",1.41666666667,109.833333333,"ngaj1237","nij","Austronesian","","Barito","","nij","false","false","ID","Mihing-and-Stokhof-1977","genus-barito"
"1906","plr","Palor","Africa",14.8333333333,-16.75,"palo1243","fap","Niger-Congo","North-Central Atlantic","Cangin","","fap","false","false","SN","DAlton-1983","genus-cangin"
"1907","pmc","Pomo (Central)","North America",39,-123.333333333,"cent2138","poo","Hokan","","Pomoan","","poo","false","false","US","Corbett-and-Mithun-1996 Mithun-1988a Mithun-1988b Mithun-1990 Mithun-1993","genus-pomoan"
"1908","pme","Pomo (Eastern)","North America",39,-122.666666667,"east2545","peb","Hokan","","Pomoan","","peb","false","false","US","McLendon-1975 McLendon-1996","genus-pomoan"
"1909","pmn","Pomo (Northern)","North America",39.3333333333,-123.5,"nort2966","pej","Hokan","","Pomoan","","pej","false","false","US","OConnor-1992","genus-pomoan"
"1910","pms","Paamese","Papunesia",-16.5,168.25,"paam1238","pma","Austronesian","Eastern Malayo-Polynesian","Oceanic","","pma","false","true","VU","Crowley-1982","genus-oceanic"
"1911","pna","Pamona","Papunesia",-1.75,120.833333333,"pamo1252","pmf","Austronesian","","Celebic","","pmf","false","false","ID","Adriani-1931","genus-celebic"
"1912","png","Pangwa","Africa",-10,34.75,"pang1287","pbr","Niger-Congo","Benue-Congo","Bantu","","pbr","false","false","TZ","Stirnimann-1983","genus-bantu"
"1913","pnn","Pangasinan","Papunesia",15.9166666667,120.333333333,"pang1290","pag","Austronesian","","Northern Luzon","","pag","false","false","PH","Benton-1971a Benton-1971b Bybee-et-al-1994 Llamzon-1978 Rubino-2001b","genus-northernluzon"
"1914","pno","Paiute (Northern)","North America",42,-118,"nort2954","pao","Uto-Aztecan","","Northern Uto-Aztecan","","pao","false","false","US","Davis-1966 Langacker-1976 Poldevaart-1987 Snapp-et-al-1982","genus-northernutoaztecan"
"1915","pnr","Panare","South America",6.5,-66,"enap1235","pbh","Cariban","","Cariban","","pbh","false","false","VR","Aikhenvald-2000 Carlson-and-Payne-1989 Cauty-1974a Cauty-1974b Cauty-1978 Derbyshire-and-Payne-1990 Payne-1990b","genus-cariban"
"1916","pnu","Bunu (Younuo)","Eurasia",24,107,"youn1235","buh","Hmong-Mien","","Hmongic","","buh","false","false","CN","Mao-and-Tsu-yao-1972","genus-hmongic"
"1917","pnx","Panará","South America",-10,-55,"pana1307","kre","Macro-Ge","Je","Je Setentrional","","kre","false","false","BR","Dourado-2001","genus-jesetentrional"
"1918","pny","Panyjima","Australia",-22.8333333333,118.416666667,"pany1241","pnw","Pama-Nyungan","","Western Pama-Nyungan","","pnw","false","false","AU","Dench-1991","genus-westernpamanyungan"
"1919","poa","Po-Ai","Papunesia",-20.6666666667,164.833333333,"fwai1237","fwa","Austronesian","Eastern Malayo-Polynesian","Oceanic","","fwa","false","false","NC","","genus-oceanic"
"1920","pod","Podoko","Africa",11,14.0833333333,"park1239","pbi","Afro-Asiatic","Chadic","Biu-Mandara","","pbi","false","false","CM","Jarvis-1989","genus-biumandara"
"1921","pog","Pogoro","Africa",-8.75,36.5,"pogo1243","poy","Niger-Congo","Benue-Congo","Bantu","","poy","false","false","TZ","Hendle-1907","genus-bantu"
"1922","poh","Pohnpeian","Papunesia",6.88333333333,158.25,"pohn1238","pon","Austronesian","Eastern Malayo-Polynesian","Oceanic","","pon","false","false","FM","Lynch-1998 Rehg-1981 Rehg-1984a Rehg-1984b Rehg-and-Sohl-1979","genus-oceanic"
"1923","pok","Poko-Rawo","Papunesia",-2.83333333333,141.583333333,"rawo1244","rwa","Skou","","Serra Hills","","rwa","false","false","PG","","genus-serrahills"
"1924","pol","Polish","Eurasia",52,20,"poli1260","pol","Indo-European","","Slavic","","pol","false","false","PL","Bielec-1998 Brooks-1975 Bulas-and-Whitfield-1983 Franks-1985 Haspelmath-1997 Laskowski-1972 Mazur-1983 Mikhalik-1984 Muhlhausler-and-Harre-1990 Rothstein-1993 Siewierska-1993 Stone-1980 Szober-1957 Wiemer-2007 Wojtowcz-1972","genus-slavic"
"1925","pop","Popoloca (Metzontla)","North America",18.1666666667,-97.5,"mezo1235","pbe","Oto-Manguean","","Popolocan","","pbe","false","false","MX","Veerman-Leichsenring-1991","genus-popolocan"
"1926","por","Portuguese","Eurasia",39,-8,"port1283","por","Indo-European","","Romance","","por","false","false","PT","Abaurre-and-Wetzels-1992 Camara-and-Mattoso-1979 Dahl-1985 Gartner-1998 Haspelmath-1997 Hutchinson-and-Lloyd-1996 Lamb-1964 Lausberg-1972 Malherbe-and-Rosenberg-1996 Martins-1982 Mateus-et-al-1989 Muhlhausler-and-Harre-1990 Parkinson-1988 Roca-1999 Schmitt-2001","genus-romance"
"1927","pot","Potawatomi","North America",44.5,-85,"pota1247","pot","Algic","","Algonquian","","pot","false","false","US","Hockett-1948","genus-algonquian"
"1928","pow","Powhatan","North America",37.3333333333,-76.5,"powh1243","pim","Algic","","Algonquian","","pim","false","false","US","Strachey-1849","genus-algonquian"
"1929","ppc","Piapoco","South America",4,-69.5,"piap1246","pio","Arawakan","","Japura-Colombia","","pio","false","false","CO","Reinoso-Galindo-2002 de-Klumpp-1995","genus-japuracolombia"
"1930","ppi","Pitta Pitta","Australia",-22.8333333333,140,"pitt1247","pit","Pama-Nyungan","","Central Pama-Nyungan","","pit","false","false","AU","Blake-1979c Blake-and-Breen-1971 Fabricius-1998","genus-centralpamanyungan"
"1931","pra","Prasuni","Eurasia",35.5,71,"pras1239","prn","Indo-European","","Nuristani","","prn","false","false","AF","Morgenstierne-1949","genus-nuristani"
"1932","prc","Paresi","South America",-14,-57.5,"pare1272","pab","Arawakan","","Central Arawakan","","pab","false","false","BR","Derbyshire-1986 Derbyshire-and-Payne-1990","genus-centralarawakan"
